Book Id	Title	Sort Character	Primary Author	Primary Author Role	Secondary Author	Secondary Author Roles	Publication	Date	Review	Rating	Comment	Private Comment	Summary	Media	Physical Description	Weight	Height	Thickness	Length	Dimensions	Page Count	LCCN	Acquired	Date Started	Date Read	Barcode	BCID	Tags	Collections	Languages	Original Languages	LC Classification	ISBN	ISBNs	Subjects	Dewey Decimal	Dewey Wording	Other Call Number	Copies	Source	Entry Date	From Where	OCLC	Work id	Lending Patron	Lending Status	Lending Start	Lending End
51374880	The Classical Decision Problem	5	BÃ¶rger, Egon				Springer (2001), Paperback, 492 pages	2001					The Classical Decision Problem by Egon BÃ¶rger (2001)	Paperback	492 p.; 9.13 inches	1.76 pounds	9.13 inches	1.1 inches	6.14 inches	9.13 x 6.14 x 1.1 inches	492 								Your library, Mathematics - Logic				[3540423249]	3540423249, 9783540423249		511	General Principles > Mathematics > Mathematics and Science		1	amazon.com	[2009-09-28]			4145573				
51374881	Twins: A Novel	1	Wood, Bari				Bonanza Books (1979), Hardcover	1979					Twins: A Novel by Bari Wood (1979)	Hardcover	8.3 inches	0.9 pounds	8.3 inches	1 inch	5.8 inches	8.3 x 5.8 x 1 inches									Your library, Fiction - General		English	PZ4 .W8715 T	[0517285088]	0517285088, 9780517285084	Mystery fiction|Twins > Fiction	813.5	20th Century > American And Canadian > Fiction > Literature		1	amazon.com	[2009-09-28]			179825				
51374882	Kalachakra Tantra Rite of Initiation	1	Hopkins, Jeffery and HH Dalai Lama XIV				Wisdom Publications (1989), Paperback, 511 pages	1989					Kalachakra Tantra Rite of Initiation by Jeffery and HH Dalai Lama XIV Hopkins (1989)	Paperback	480 p.; 8.4 inches	1.2 pounds	8.4 inches	1 inch	5.3 inches	8.4 x 5.3 x 1 inches	480 							Buddhist_Tantra, Kalachakra	Your library, Religion - Buddhism, Hinduism		Tibetan	BQ8921 .K34	[0861710282]	0861710282, 9780861710287	KÄlacakra (Tantric rite) > Tibet|Kåalacakra (Tantric rite) > China > Tibet|Kï¿½alacakra (Tantric rite) > China > Tibet|Tripiï¿½taka. Sï¿½utrapiï¿½taka. Tantra. Kï¿½alacakratantra > Criticism, interpretation, etc|Tripiòtaka. Såutrapiòtaka. Tantra. Kåalacakratantra > Criticism, interpretation, etc	294.3438	Activities > Buddhism > Buddhism - practice > Other Religions > Religion  > Religions of Indic origin > Rituals		1	amazon.com	[2009-09-28]			656399				
51374883	Cantorian Set Theory and Limitation of Size (Oxford Logic Guides)	1	Hallett, Michael				Oxford University Press, USA (1986), Paperback, 343 pages	1986					Cantorian Set Theory and Limitation of Size (Oxford Logic Guides) by Michael Hallett (1986)	Paperback	343 p.; 9.16 inches	1.43 pounds	9.16 inches	0.79 inches	6.2 inches	9.16 x 6.2 x 0.79 inches	343 							Set Theory	Your library, Mathematics - Set Theory		English		[0198532830]	0198532830, 9780198532835		511.322	General Principles > Logic > Mathematics > Mathematics and Science > Set Theory		1	amazon.com	[2009-09-28]			1149777				
51374885	Modal Logic	1	Blackburn, Patrick				Cambridge University Press (2002), Paperback, 556 pages	2002					Modal Logic by Patrick Blackburn (2002)	Paperback	556 p.; 8.9 inches	1.98 pounds	8.9 inches	1.1 inches	5.98 inches	8.9 x 5.98 x 1.1 inches	556 								Your library, Mathematics - Logic		English	QA9.46 .B58	[0521527147]	0521527147, 9780521527149		519	Applied Mathematics, Probabilities > Mathematics > Mathematics and Science		1	amazon.com	[2009-09-28]			5632				
51374886	Tantric Techniques	1	Hopkins, Jeffrey				Snow Lion Publications (2009), Paperback, 464 pages	2009					Tantric Techniques by Jeffrey Hopkins (2009)	Paperback	464 p.; 8.8 inches	1.25 pounds	8.8 inches	1.2 inches	5.9 inches	8.8 x 5.9 x 1.2 inches	464 								Your library, Religion - Buddhism, Hinduism		English	BQ8938 .H67	[1559393203]	1559393203, 9781559393201		294.34436	Buddhism > Buddhism - practice > Meditation > Meditation & Mindfulness > Other Religions > Religion  > Religions of Indic origin		1	amazon.com	[2009-09-28]			8184300				
51374887	To Be A Jew: A Guide To Jewish Observance In Contemporary Life	1	Donin, Hayim H.				Basic Books (1991), Paperback, 368 pages	1991					To Be A Jew: A Guide To Jewish Observance In Contemporary Life by Hayim H. Donin (1991)	Paperback	368 p.; 8 inches	0.8 pounds	8 inches	1 inch	5.3 inches	8 x 5.3 x 1 inches	368 								Your library, Religion - Judaism		English	BM700 .D58	[0465086322]	0465086322, 9780465086320	Jewish way of life|Judaism > Customs and practices	296.4	Judaism > Other Religions > Religion  > Rites, Services, Practice		1	amazon.com	[2009-09-28]			109772				
51374888	Essays on the Theory of Numbers	1	Dedekind, Richard				Dover Publications (1963), Paperback, 115 pages	1963					Essays on the Theory of Numbers by Richard Dedekind (1963)	Paperback	115 p.; 7.98 inches	0.3 pounds	7.98 inches	0.26 inches	5.37 inches	7.98 x 5.37 x 0.26 inches	115 								Your library, Mathematics - Logic, Mathematics - Number Theory			QA248 .D3	[0486210103]	0486210103, 9780486210100	Number theory	511	General Principles > Mathematics > Mathematics and Science		1	amazon.com	[2009-09-28]			75802				
51374889	Tantric Practice in Nying-ma	1	Rinbochay, Khetsun Sangpo				Snow Lion Publications (1983), Paperback, 240 pages	1983					Tantric Practice in Nying-ma by Khetsun Sangpo Rinbochay (1983)	Paperback	240 p.; 8.8 inches	0.6 pounds	8.8 inches	0.8 inches	6.4 inches	8.8 x 6.4 x 0.8 inches	240 								Your library, Religion - Buddhism, Hinduism		Tibetan	BQ7662.4 .K47	[0937938149]	0937938149, 9780937938140	RÃ±iá¹…-ma-pa (Sect) > Doctrines|Räniçn-ma-pa (Sect) > Doctrines|Spiritual life > RÃ±iá¹…-ma-pa (Sect)|Spiritual life > Räniçn-ma-pa (Sect)|Tantric Buddhism > China > Tibet|Tantric Buddhism > Tibet	294.34448	Buddhism > Buddhism - practice > Meditation > Other Religions > Personal Spiritual Path and Practice > Religion  > Religions of Indic origin		1	amazon.com	[2009-09-28]			159649				
51374890	Nymphomation	1	Noon, Jeff				Doubleday (1997), Edition: First Edition, Hardcover, 362 pages	1997					Nymphomation by Jeff Noon (1997)	Hardcover	368 p.; 8.5 inches	1.59 pounds	8.5 inches	1.18 inches	6.06 inches	8.5 x 6.06 x 1.18 inches	368 								Your library, Fiction - Science Fiction		English		[0385408129]	0385408129, 9780385408127	Lotteries > England > Manchester > Fiction|Manchester (England) > Fiction|Science Fiction|Science fiction|science fiction	813	American And Canadian > Fiction > Literature		1	amazon.com	[2009-09-28]			48892				
51374892	Schrodinger's Cat Trilogy	1	Wilson, Robert Anton				Dell (1988), Paperback, 560 pages	1988					Schrodinger's Cat Trilogy by Robert Anton Wilson (1988)	Paperback	560 p.; 8.01 inches	1.04 pounds	8.01 inches	1.11 inches	5.41 inches	8.01 x 5.41 x 1.11 inches	560 								Your library, Fiction - Science Fiction		English	PS3573 .I4662	[0440500702]	0440500702, 9780440500704	Fantasy|Science Fiction|Science fiction|fantasy|science fiction	813.54	1945-1999 > 20th Century > American And Canadian > Fiction > Literature		1	amazon.com	[2009-09-28]			2681850				
51374893	Classical Descriptive Set Theory (Graduate Texts in Mathematics) (v. 156)	1	Kechris, Alexander S.				Springer (1995), Edition: 1, Hardcover, 428 pages	1995					Classical Descriptive Set Theory (Graduate Texts in Mathematics) (v. 156) by Alexander S. Kechris (1995)	Hardcover	428 p.; 9.2 inches	1.55 pounds	9.2 inches	1.2 inches	6.1 inches	9.2 x 6.1 x 1.2 inches	428 							Set Theory	Your library, Mathematics - Set Theory			QA248 .K387	[0387943749]	0387943749, 9780387943749	Set theory	511.322	General Principles > Logic > Mathematics > Mathematics and Science > Set Theory		1	amazon.com	[2009-09-28]			1120199				
51374895	Approaching the Great Perfection: Simultaneous and Gradual Methods of Dzogchen Practice in the Longchen Nyingtig (Studies in Indian and Tibetan Buddhism)	1	Schaik, Sam Van				Wisdom Publications (2003), Paperback, 448 pages	2003					Approaching the Great Perfection: Simultaneous and Gradual Methods of Dzogchen Practice in the Longchen Nyingtig (Studies in Indian and Tibetan Buddhism) by Sam Van Schaik (2003)	Paperback	448 p.; 9.16 inches	1.22 pounds	9.16 inches	1.11 inches	6.08 inches	9.16 x 6.08 x 1.11 inches	448 								Your library, Religion - Buddhism, Hinduism			BQ7662.4 .S33	[0861713702]	0861713702, 9780861713707	Rdzogs-chen (Rï¿½niï¿½n-ma-pa)	294.3442	Buddhism > Buddhism - practice > Meditation > Other Religions > Psychology and Religious Experience; Path to Enlightenment > Religion  > Religions of Indic origin		1	amazon.com	[2009-09-28]			408531				
51374896	The Geometry of Physics: An Introduction, Second Edition	5	Frankel, Theodore				Cambridge University Press (2003), Edition: 2, Paperback, 720 pages	2003					The Geometry of Physics: An Introduction, Second Edition by Theodore Frankel (2003)	Paperback	720 p.; 9.9 inches	2.82 pounds	9.9 inches	1.6 inches	6.9 inches	9.9 x 6.9 x 1.6 inches	720 								Your library, Physics		English	QC20.7 .D52	[0521539277]	0521539277, 9780521539272	Geometry, Differential|Mathematical physics	530.15636	Mathematical Physics > Mathematics and Science > Physics > Physics > Theoretical Physics		1	amazon.com	[2009-09-28]			379238				
51374898	Introduction to Metamathematics (Bibliotheca Mathematica)	1	Kleene, S.C.				North Holland (1980), Edition: 11th repr. 1996, Hardcover, 550 pages	1980					Introduction to Metamathematics (Bibliotheca Mathematica) by S.C. Kleene (1980)	Hardcover	560 p.; 9.06 inches	2.16 pounds	9.06 inches	1.57 inches	6.22 inches	9.06 x 6.22 x 1.57 inches	560 								Your library, Mathematics - Logic		English	QA9 .K65	[0720421039]	0720421039, 9780720421033	Metamathematics	515	Analysis > Mathematics > Mathematics and Science		1	amazon.com	[2009-09-28]			323570				
51374899	Buddha Nature: The Mahayana Uttaratantra Shastra with Commentary	1	Maitreya, Arya				Snow Lion Publications (2000), Hardcover, 410 pages	2000					Buddha Nature: The Mahayana Uttaratantra Shastra with Commentary by Arya Maitreya (2000)	Hardcover	410 p.; 9.3 inches	1.65 pounds	9.3 inches	1.4 inches	6.3 inches	9.3 x 6.3 x 1.4 inches	410 							FiveDharmasMaitreya	Your library, Religion - Buddhism, Hinduism, Kindle Books		English		[1559391286]	1559391286, 9781559391283		294.385	Buddhism > Buddhist scripture > Mahayana - Sutras > Other Religions > Religion  > Religions of Indic origin		1	amazon.com	[2009-09-28]			1024534				
51374900	From Frege to GÃƒÂ¶del: A Source Book in Mathematical Logic, 1879-1931 (Source Books in the History of the Sciences)	1	Heijenoort, Jean van				Harvard University Press (2002), Paperback, 680 pages	2002					From Frege to GÃƒÂ¶del: A Source Book in Mathematical Logic, 1879-1931 (Source Books in the History of the Sciences) by Jean van Heijenoort (2002)	Paperback	680 p.; 9.9 inches	2.25 pounds	9.9 inches	1.8 inches	6.4 inches	9.9 x 6.4 x 1.8 inches	680 								Your library, Mathematics - Logic, Mathematics - History		Multiple languages	QA9 .V3	[0674324498]	0674324498, 9780674324497	Logic, Symbolic and mathematical	109	Biography; History By Place > Philosophy > Philosophy and Psychology		1	amazon.com	[2009-09-28]			57781				
51374901	Vicious Circles (Center for the Study of Language and Information - Lecture Notes)	1	Barwise, Jon				Center for the Study of Language and Inf (2004), Paperback, 390 pages	2004					Vicious Circles (Center for the Study of Language and Information - Lecture Notes) by Jon Barwise (2004)	Paperback	390 p.; 8.92 inches	1.27 pounds	8.92 inches	0.89 inches	5.99 inches	8.92 x 5.99 x 0.89 inches	390 							Set Theory	Your library, Mathematics - Set Theory		English	QA248 .B376	[1575860082]	1575860082, 9781575860084	Cycles|Hypersets	511.322	General Principles > Logic > Mathematics > Mathematics and Science > Set Theory		1	amazon.com	[2009-09-28]			379329				
51374902	A Study of Svantantrika	3	Lopez, Donald				Snow Lion Publications (1987), Paperback, 486 pages	1987					A Study of Svantantrika by Donald Lopez (1987)	Paperback	486 p.; 8.43 inches	1.23 pounds	8.43 inches	1.02 inches	5.51 inches	8.43 x 5.51 x 1.02 inches	486 								Your library, Religion - Buddhism, Hinduism		English	BQ7478 .L67	[093793819X]	093793819X, 9780937938195		294.392	Buddhism > Buddhism - guides  > Mahayana Buddhism  > Other Religions > Religion  > Religions of Indic origin		1	amazon.com	[2009-09-28]			4272714				
51374903	Popol Vuh: The Definitive Edition of the Mayan Book of the Dawn of Life and the Glories of Gods and Kings	1	Tedlock, Dennis				Touchstone (1986), Paperback, 382 pages	1986					Popol Vuh: The Definitive Edition of the Mayan Book of the Dawn of Life and the Glories of Gods and Kings by Dennis Tedlock (1986)	Paperback	382 p.; 8.3 inches	0.95 pounds	8.3 inches	0.9 inches	5.5 inches	8.3 x 5.5 x 0.9 inches	382 								Your library, Religion - Other Western			F1465 .P813	[0671617710]	0671617710, 9780671617714	Guatemala > Antiquities|Indians of Central America > Guatemala > Religion and mythology|Manuscripts, Maya|Manuscripts, Quiche|Manuscripts, QuichÃ©|Manuscripts, Quichâe|Popol Vuh|Popol vuh|Quichea > Religion and mythology|Quiches > Religion and mythology|QuichÃ© Indians > Religion|QuichÃ© art|QuichÃ© mythology|QuichÃ© women|Quichâe Indians > Religion|Quichâe art|Quichâe mythology|Quichâe women|Quichâes > Religion and mythology|Quichï¿½e Indians > Religion|Quichï¿½e mythology|Women in art	299.79281	By Region > By Region/Civilization > Mexico, Central America, and the Caribbean > Of North American Origin > Other Religions > Religion 		1	amazon.com	[2009-09-28]			53850				
